Kommun,Population,14 days Cumulative Cases per 10k Population,Total Confirmed Cases,Total % of Population With Confirmed Infected,Total Deaths,Deaths per 10k Population,% Vaccinated - Dose 1,% Vaccinated - Dose 2,Vaccinated - Dose 1,Vaccinated - Dose 2,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Change Rate,Case Notification rate per 10k Population Previous Week,Region
Högsby,5766,1.7,573,9.9%,3,5.2,75.0%,66.2%,3428,3026, 2, 0, 1, 3, 4, 0, 0, 0, 2, 0, 1, 0,0.0,1.7,Kalmar
Hörby,15703,1.3,1396,8.9%,9,5.7,80.0%,71.1%,9923,8819, 4, 4, 9, 8, 3, 2, 2, 1, 1, 2, 1, 1,1.0,1.9,Skåne
Höör,16771,5.4,1525,9.1%,7,4.2,82.9%,74.4%,10826,9719, 13, 8, 7, 2, 3, 0, 1, 0, 9, 2, 8, 1,0.1,6.0,Skåne
Jokkmokk,4856,0.0,497,10.2%,3,6.2,85.7%,73.2%,3498,2986, 2, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0,,0.0,Norrbotten
Järfälla,81034,10.7,8961,11.1%,160,19.7,75.6%,64.0%,47242,40003, 25, 15, 10, 12, 17, 12, 31, 50, 54, 65, 70, 17,0.2,16.7,Stockholm
Jönköping,142471,3.7,16589,11.6%,180,12.6,80.6%,68.6%,90432,76920, 52, 30, 16, 29, 36, 36, 34, 45, 64, 59, 49, 4,0.1,7.6,Jönköping
Kalix,15791,0.6,1410,8.9%,18,11.4,87.0%,72.4%,11375,9473, 28, 23, 5, 1, 0, 0, 1, 0, 2, 3, 1, 0,0.0,2.5,Norrbotten
Kalmar,70367,4.3,8192,11.6%,41,5.8,85.5%,74.1%,47761,41372, 55, 48, 26, 11, 14, 9, 4, 16, 8, 34, 24, 6,0.3,8.2,Kalmar
Karlsborg,6989,4.3,575,8.2%,3,4.3,87.2%,76.6%,4982,4376, 4, 0, 2, 2, 0, 0, 1, 0, 0, 0, 2, 1,0.5,2.9,Västra Götaland
Karlshamn,32433,1.5,2716,8.4%,23,7.1,83.5%,72.7%,21741,18929, 12, 2, 2, 4, 1, 3, 9, 4, 2, 1, 5, 0,0.0,1.8,Blekinge
Karlskoga,30267,13.2,3131,10.3%,27,8.9,87.7%,82.4%,21420,20117, 10, 2, 9, 12, 2, 2, 6, 2, 6, 8, 31, 9,0.3,12.9,Örebro
Karlskrona,66605,5.7,5156,7.7%,47,7.1,86.5%,74.7%,45720,39452, 21, 9, 6, 3, 2, 6, 2, 5, 10, 40, 33, 5,0.2,11.0,Blekinge
Karlstad,94824,7.9,8154,8.6%,50,5.3,88.8%,78.8%,68035,60365, 292, 181, 127, 114, 37, 34, 35, 30, 58, 60, 66, 9,0.1,13.3,Värmland
Katrineholm,34796,2.6,2608,7.5%,60,17.2,85.0%,78.0%,23102,21209, 1, 2, 1, 1, 0, 2, 1, 7, 3, 5, 9, 0,0.0,4.0,Södermanland
Kil,12089,0.0,898,7.4%,10,8.3,89.2%,82.6%,8452,7831, 60, 37, 29, 22, 7, 2, 6, 11, 2, 1, 0, 0,,0.8,Värmland
Kinda,9999,0.0,718,7.2%,13,13.0,88.6%,79.1%,7062,6305, 0, 0, 2, 0, 0, 0, 0, 2, 2, 3, 0, 0,,3.0,Östergötland
